Year,FIO-ESM,NorESM1-ME,BCC-CSM1-1,MRI-CGCM3,CanESM2,CESM1-CAM5,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM,HadGEM2-ES,FGOALS-g2,ACCESS1-0,BNU-ESM,MIROC5,CMCC-CMS,HadGEM2-AO,FGOALS-s2,INMCM4,CSIRO-Mk3-6-0,GISS-E2-R,ACCESS1-3,CCSM4,CNRM-CM5,GFDL-CM3,NorESM1-M,IPSL-CM5B-LR,GFDL-ESM2M,CESM1-BGC,CMCC-CM,MPI-ESM-MR,MPI-ESM-LR,EC-EARTH,IPSL-CM5A-MR,HadGEM2-CC,IPSL-CM5A-LR,GFDL-ESM2G
2034,0.45297918570025525,2.3382933430492705,2.1996236707178496,2.6834254588756696,2.4087873239017488,2.7206040867639714,2.477518260224022,2.5704941343530407,2.5704941343530407,2.7933003981834474,3.0277161964715393,2.528682062570164,2.684476160639737,2.0106487970884,2.8332629080336242,2.1173399396693635,2.356736067584691,2.7779926383174107,0.9994494152329546,1.4273193847204255,2.4869063022907794,2.455582190573407,2.5654924489568747,3.791104979789219,2.85615752478848,2.3879906758552814,2.799277149023513,2.3257148759850144,2.391278736044652,2.441483173302024,2.0923214160617465,2.2363661753618205,2.0467829131755577,2.9355599765758793,2.481242535672497,2.839752877563469
2035,0.6653591562240342,2.4923871749832247,2.0616094154020215,2.831110307721654,2.572774093112314,2.8306444058000704,2.5944275870091142,2.6587753513275616,2.6587753513275616,2.91686111838241,3.053426621702917,2.4669405388819112,2.7957862538374862,1.9873475641426983,2.773319176381525,2.1710424244973914,2.3990376658096126,3.0184332259128004,1.142749501603589,1.4577367318643826,2.5121457009106205,2.606270306537688,2.681802789408339,3.8730360596991695,2.6835566526330386,2.2116684707399843,2.787385383194857,2.3298988202229904,2.40042318208778,2.468185301371385,1.9951650317102372,2.331453571002426,2.014939056609043,2.9369021538692475,2.531733309775811,3.014799239434164
2036,0.9341707171549452,2.5961115970657698,1.9717100327536288,2.738259215091713,2.549736604121314,2.843078395963635,2.6850500684315386,2.615614940016812,2.615614940016812,2.975732438257827,2.9981255084738425,2.4995174654225933,2.8312862985303053,1.8136819548336258,2.7034412234105476,2.3304415301098986,2.4141542920478036,3.143045110880524,1.263545321754081,1.3866318441275225,2.5014095066484425,2.698316552268469,2.6839117769701897,3.9338582324289475,2.7432918379503275,2.279172947824073,2.8477280975106827,2.383024607218836,2.3999645442389927,2.5317835670508444,1.9775448952540333,2.4482268938652485,2.1031909576301966,2.8594238206211675,2.493724209921192,3.305747987255638
2037,0.9325168051328909,2.5909113139874016,1.7328938139511711,2.5862144193605943,2.511834928009418,2.9680171297937736,2.8083980102428114,2.6183184025449777,2.6183184025449777,3.02383305449996,2.905710576305365,2.2684508638592598,2.7884295333089213,1.8123234770285055,2.762074613752019,2.4494982622039743,2.350412108682225,3.0502668869579797,1.3249141147441543,1.4412267223710127,2.4647714611983464,2.6999211726001007,2.4173354630565664,3.9382667110981457,2.728958055441225,2.274250788232545,2.801725463078455,2.4595578407736944,2.477303822588775,2.5740401847044674,2.0173630590303353,2.5546441271012066,2.191089259744138,2.8977671386309583,2.5037048559898234,3.290198525108932
2038,1.152257765363753,2.549439859133741,1.5815437098898246,2.524822401933434,2.4343684002250017,3.0554361620430357,2.817779879242954,2.6453828846144676,2.6453828846144676,3.0225475033215163,2.84514193786141,2.1822332671587232,2.7047945383232763,1.7031136392033932,2.822230625586416,2.520276883516847,2.1832672224880545,3.2438778987335404,1.3525091396727873,1.3285460573346424,2.3685187302652024,2.6389104100787235,2.3775842106624787,4.027289810064168,2.521563007836297,2.4510261971487637,2.8521606099084122,2.4885245113338352,2.4782296762953426,2.562096359314562,2.027376731803032,2.7867995443471565,2.242443700292795,2.8644376538230585,2.5414853104882718,3.2658213262808773
2039,1.2408806506317942,2.607885282030934,1.448465124444294,2.403103566880124,2.3789014823998316,3.0642840834026095,2.757242055884434,2.6108825625096044,2.6108825625096044,3.097306499537036,2.7550620364418577,2.069657567957709,2.493246429449394,1.620961566959048,2.7311669988208456,2.6707296203283133,2.131821480587643,3.3421358727584893,1.4415762411130166,1.2939216234442188,2.311887916285429,2.532300264529231,2.469434269920732,4.125021943429221,2.635402705279425,2.7159282751987543,2.6696935303194405,2.343984904220722,2.451690116665112,2.3331325490614545,2.064947758911393,2.8699905093761515,2.2618029027997473,2.77013058434049,2.386211530237747,3.240736668104582
2040,1.019758906704747,2.895741892775079,1.493183453304897,2.4023016293937474,2.3477565110096092,3.0577971617346993,2.6782651568339646,2.685423903005355,2.685423903005355,3.123246081393896,2.8283797559617767,1.9960789584777396,2.2717290689158243,1.5750409544170427,2.7684230970940162,2.7107334388697613,2.125186564833673,3.3712377256971906,1.3658934536365357,1.3069099877385237,2.24513781175891,2.3654973301430253,2.358271783734441,4.077006249287225,2.597755586385128,2.749591157352912,2.5747501507534998,2.1727737146809454,2.500898345483717,2.2702030373328284,2.080583525556315,2.924213661542494,2.3255287945922087,2.681417940754425,2.3411898957379567,3.378745367376888
2041,1.0700972707976413,3.2167646806674117,1.4616148347897457,2.3023311909381285,2.218200468450302,3.0438360277608756,2.587658961372216,2.729214891956753,2.729214891956753,3.102451737103701,2.8047866228730647,1.9687300819650977,2.0889719813875054,1.5601762734310771,2.794642675600457,2.6768179037318696,1.916116245959421,3.485738113747245,1.4094674011937343,1.3475230013655521,2.1753698119617324,2.1938613038881383,2.3657144076889716,4.087657623676869,2.666569494367914,2.740217810718497,2.3707767242824738,2.148750952737191,2.5634202937047252,2.2008254220878567,2.12658287782082,3.067098835004112,2.355453859482376,2.6365020666224237,2.421441111222826,3.186138908918671
2042,1.0887673844841939,3.1480850490731105,1.56969520429561,2.2371584909760704,2.221373276952463,3.0126566175786538,2.6383875080433934,2.847904108886848,2.847904108886848,3.060446832432973,2.780876378533295,1.9498449744630502,2.0470623357812294,1.746517170178232,2.89684268456673,2.702926561730227,1.8594507418544663,3.6134878469122294,1.57988722063599,1.3861815580648396,2.124209251760312,2.0550151636763188,2.4540621604886725,4.133312073387115,2.7104972280535082,2.9125197791335053,2.4637692545145304,1.9782094958297614,2.699454920890341,1.917357518401831,2.1123304736780213,3.1423316996024417,2.3965394273842806,2.569015998240468,2.4652346455334744,3.520783809316983
2043,1.0054781921117408,3.2781547432062124,1.746388038774304,2.2528717608948967,2.288415247090619,2.96495904437695,2.6992546927388044,2.994359573471604,2.994359573471604,3.047085846988817,2.741665370276322,1.8859517324876482,2.087624705027942,1.7913999052032945,2.822070578842178,2.770128611742178,1.7564365688161823,3.521290920182511,1.5958391374669234,1.321828861944276,2.1160328800853208,1.9579400526610011,2.3823151280351524,4.135794634578672,2.752218484948922,2.9060357212698014,2.447278281196405,1.9886115002080773,2.63955928338959,1.6916889122099277,2.2121113807732247,3.263556242880709,2.4495964383654565,2.542231118969955,2.3968226133822035,3.4443104096420147
